country,vote_percent
Hungary,49.21
North Macedonia,38.1
Poland,37.6
Switzerland,29.4
Austria,26.0
Denmark,21.1
Belgium,20.3
Hungary,19.06
Estonia,17.8
Finland,17.7
Sweden,17.53
Italy,17.37
Latvia,16.6
Latvia,0.50
Norway,15.2
Ireland,13.8
France,13.20
Netherlands,13.1
Germany,12.6
Russia,11.7
Norway,10.3
Spain,10.26
Bulgaria,9.07
Slovakia,8.64
Luxembourg,8.28
Serbia,8.1
Slovakia,8.04
Greece,6.99
Armenia,6.6
Lithuania,5.33
Poland,4.76
Ukraine,4.7
Italy,4.35
Slovenia,4.17
Cyprus,3.71
Belgium,3.7
Croatia,3.0
Romania,2.8
Croatia,2.8
Ukraine,1.8
United Kingdom,1.8
Netherlands,1.78
Germany,1.5
Romania,1.5
Italy,0.95
Czech Republic,0.86
Lithuania,0.54
Portugal,0.50
Italy,0.39
Malta,0.36
Albania,0.28
Estonia,0.18
Bulgaria,0.17
Ukraine,0.05
Spain,0.04
Spain,0.04
Poland,0.03
Poland,0.03
Spain,0.01
United Kingdom,0.00
United Kingdom,0.00
Sweden,0.03
Spain,0.00
Iceland,0
Turkey,11.1
