Connecticut, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,51.1,3.1
199112,51.0,3.0
199212,47.7,-0.3
199312,48.6,0.6
199412,48.9,0.9
199512,49.0,1.0
199612,48.4,0.4
199712,48.6,0.6
199812,51.6,3.6
199912,50.8,2.8
200012,48.5,0.5
200112,50.2,2.2
200212,50.5,2.5
200312,48.2,0.2
200412,48.8,0.8
200512,49.5,1.5
200612,51.1,3.1
200712,49.5,1.5
200812,49.7,1.7
200912,48.8,0.8
201012,51.4,3.4
201112,50.9,2.9
201212,52.5,4.5
201312,49.8,1.8
201412,48.7,0.7
201512,49.8,1.8
201612,51.8,3.8
201712,50.9,2.9
201812,50.8,2.8
201912,49.8,1.8
202012,51.8,3.8
202112,51.4,3.4
