Tennessee, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,59.4,1.7
199112,59.1,1.4
199212,57.0,-0.7
199312,57.2,-0.5
199412,57.6,-0.1
199512,57.4,-0.3
199612,56.6,-1.1
199712,56.8,-0.9
199812,60.2,2.5
199912,59.3,1.6
200012,58.0,0.3
200112,58.2,0.5
200212,58.7,1.0
200312,57.5,-0.2
200412,58.5,0.8
200512,58.8,1.1
200612,58.9,1.2
200712,59.9,2.2
200812,57.6,-0.1
200912,57.6,-0.1
201012,57.9,0.2
201112,58.9,1.2
201212,60.3,2.6
201312,57.1,-0.6
201412,56.6,-1.1
201512,59.0,1.3
201612,60.3,2.6
201712,60.0,2.3
201812,59.1,1.4
201912,59.8,2.1
202012,59.3,1.6
202112,59.1,1.4
