Florida, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,72.5,2.4
199112,71.8,1.7
199212,70.3,0.2
199312,70.3,0.2
199412,71.6,1.5
199512,70.8,0.7
199612,69.9,-0.2
199712,71.1,1.0
199812,72.5,2.4
199912,71.2,1.1
200012,70.6,0.5
200112,70.9,0.8
200212,71.3,1.2
200312,70.9,0.8
200412,70.8,0.7
200512,70.8,0.7
200612,71.4,1.3
200712,71.8,1.7
200812,70.8,0.7
200912,71.2,1.1
201012,69.2,-0.9
201112,71.7,1.6
201212,71.9,1.8
201312,71.7,1.6
201412,70.6,0.5
201512,73.4,3.3
201612,72.5,2.4
201712,72.8,2.7
201812,72.3,2.2
201912,73.2,3.1
202012,73.2,3.1
202112,72.2,2.1
