Mississippi, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,65.1,1.5
199112,64.3,0.7
199212,62.8,-0.8
199312,62.7,-0.9
199412,63.5,-0.1
199512,63.6,0.0
199612,63.0,-0.6
199712,62.9,-0.7
199812,65.8,2.2
199912,65.0,1.4
200012,64.2,0.6
200112,63.7,0.1
200212,64.0,0.4
200312,63.3,-0.3
200412,64.0,0.4
200512,64.3,0.7
200612,64.8,1.2
200712,65.0,1.4
200812,63.3,-0.3
200912,63.6,0.0
201012,63.5,-0.1
201112,64.4,0.8
201212,65.7,2.1
201312,63.1,-0.5
201412,62.3,-1.3
201512,65.3,1.7
201612,65.9,2.3
201712,65.8,2.2
201812,64.8,1.2
201912,65.2,1.6
202012,65.5,1.9
202112,64.9,1.3
