State,Biodiesel,CNG,E85,Electric,Hydrogen,LNG,Propane,Total
Alabama,0,1,0,4,0,0,7,12

Alaska,11,15,28,48,0,2,94,198

Arizona,4,5,33,36,0,0,44,122

Arkansas,20,33,32,527,1,6,63,682

California,69,256,71,3573,24,41,227,4261

Colorado,21,36,84,206,1,0,59,407

Connecticut,2,16,1,150,2,1,15,187

Delaware,1,1,1,14,0,0,3,20

District of Columbia,2,2,3,105,0,0,0,112

Florida,15,28,51,862,0,0,68,1024

Georgia,26,23,59,193,0,0,46,347

Hawaii,8,1,3,315,3,0,3,333

Idaho,7,2,188,72,0,0,20,289

Illinois,7,8,9,11,0,0,27,62

Indiana,10,36,206,471,1,0,97,821

Iowa,8,15,157,166,0,0,181,527

Kansas,7,6,32,67,0,0,36,148

Kentucky,3,4,35,36,0,0,43,121

Louisiana,2,18,4,61,0,1,21,107

Maine,6,20,8,414,1,0,20,469

Maryland,9,9,22,406,0,0,18,464

Massachusetts,4,1,1,21,0,0,9,36

Michigan,18,19,129,651,4,0,75,896

Minnesota,9,8,360,150,0,0,37,564

Mississippi,4,11,110,120,1,0,64,310

Missouri,3,2,1,38,0,0,138,182

Montana,6,2,3,2,0,0,41,54

Nebraska,137,30,30,465,0,0,64,726

Nevada,3,2,79,4,0,0,18,106

New Hampshire,3,8,77,8,0,0,22,118

New Jersey,3,3,0,42,0,0,11,59

New Mexico,5,27,5,188,0,0,10,235

New York,8,10,14,31,0,0,49,112

North Carolina,5,7,19,55,2,1,39,128

North Dakota,21,111,84,520,9,0,35,780

Ohio,21,24,88,149,1,1,71,355

Oklahoma,5,91,27,26,0,0,54,203

Oregon,25,14,8,775,0,0,33,855

Pennsylvania,7,40,32,217,2,0,70,368

Rhode Island,2,6,0,41,0,0,6,55

South Carolina,33,7,84,210,2,0,34,370

South Dakota,2,0,100,9,0,0,17,128

Tennessee,44,8,43,738,0,0,75,908

Texas,17,52,80,1310,1,9,471,1940

Utah,3,88,4,67,0,3,26,191

Vermont,14,16,18,300,2,0,58,408

Virginia,1,3,1,28,0,0,4,37

Washington,37,23,20,1068,1,0,72,1221

West Virginia,4,31,126,185,0,1,51,398

Wisconsin,2,0,4,37,0,0,9,52

Wyoming,12,11,9,0,0,0,21,53

Total,696,1190,2583,15192,58,66,2776,22561
