Illinois, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,53.6,2.0
199112,53.7,2.1
199212,51.9,0.3
199312,50.9,-0.7
199412,52.0,0.4
199512,51.6,0.0
199612,50.1,-1.5
199712,51.0,-0.6
199812,55.2,3.6
199912,53.5,1.9
200012,52.2,0.6
200112,53.4,1.8
200212,53.2,1.6
200312,51.7,0.1
200412,52.6,1.0
200512,53.7,2.1
200612,54.0,2.4
200712,53.7,2.1
200812,50.9,-0.7
200912,51.4,-0.2
201012,52.9,1.3
201112,53.1,1.5
201212,55.8,4.2
201312,51.1,-0.5
201412,49.5,-2.1
201512,52.9,1.3
201612,54.7,3.1
201712,54.4,2.8
201812,52.5,0.9
201912,52.1,0.5
202012,53.3,1.7
202112,53.8,2.2
