Utah, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,48.7,1.2
199112,47.5,0.0
199212,49.0,1.5
199312,46.8,-0.7
199412,49.7,2.2
199512,49.2,1.7
199612,49.6,2.1
199712,48.2,0.7
199812,48.3,0.8
199912,49.2,1.7
200012,50.2,2.7
200112,50.0,2.5
200212,48.8,1.3
200312,50.6,3.1
200412,48.7,1.2
200512,49.3,1.8
200612,49.2,1.7
200712,49.9,2.4
200812,48.1,0.6
200912,48.4,0.9
201012,48.3,0.8
201112,47.6,0.1
201212,50.9,3.4
201312,47.8,0.3
201412,50.4,2.9
201512,50.7,3.2
201612,50.2,2.7
201712,50.7,3.2
201812,50.4,2.9
201912,47.9,0.4
202012,50.4,2.9
202112,50.7,3.2
